"ROBIN OF THE WOOD","VIDEOAVENTURA","R"
"TOMAHAWK","SIMULADOR","R"
"V","VIDEOAVENTURA","R"
"BOMB JACK","ARCADE","R"
"DEVPAC","UTILIDAD","Q"
"SQUASH","S. DEPORTIVO","R-31"
"COBRA'S ARC","CONVERSACIONAL","R"
"PENTAGRAM","VIDEOAVENTURA","R"
"THE PLANETS","ARCADE","S"
"STARSTRIKE II","ARCADE","S"
"CAMELOT'S WARRIORS","ARCADE","Q"
"KUNG-FU MASTER","ARCADE","R-25"
"VECTRON","ARCADE","R"
"ROCK'N WRESTLE","ARCADE","R"
"THE COLT","UTILIDAD","L-S"
"CONTEXT V7","UTILIDAD","S"
"SUPERMAN","ARCADE","S"
"COMPILER","UTILIDAD","L"
"FAIRLIGHT","VIDEOAVENTURA","O"
"FRANK BRUNO'S BOXING","ARCADE","O"
"STRONG MAN","ARCADE","P"
"KYREL","ARCADE","P"
"SAI COMBAT","ARCADE","P"
"BATTLE OF THE ZOIDS","ARCADE","S"
"WORLD SERIES BASEBALL","S. DEPORTIVO","S"
"DRAGON'S LAIR","ARCADE","T"
"TENNIS","ARCADE","S"
"GHOST'N GOBLINS","ARCADE","S"
"PHANTOMAS","VIDEOAVENTURA","S"
"JACK THE NIPPER","VIDEOAVENTURA","S"
"GLADIATOR","ARCADE","S"
"ARCADIA","ARCADE","S"
"ANTIMATERIA","ARCADE","S"
"STRIP POKER","JUEGO DE MESA","T"
"ASTER","ARCADE","T"
"TAJ-MAHAL","ARCADE","T"
"COW-BOY","ARCADE","T"
"RIDDLER'S DEN","VIDEOAVENTURA","T"
"MACADAM BUMPER","ARCADE","T"
"PANAMA JOE","ARCADE","T"
"SNOWMAN","ARCADE","T"
"DEATH STAR","ARCADE","T"
"BABALIBA","VIDEOAVENTURA","T"
"FANTASTIC VOYAGE","ARCADE","T"
"WRIGGLER","ARCADE","T"
"LA MUMMIA","ARCADE","U"
"PENN-X","ARCADE","U"
"PEDRO","ARCADE","U"
"CRASH CAR","ARCADE","U"
"INVADER","ARCADE","U"
"MISSILE DEFENCE","ARCADE","U"
"TRAGON","UTILIDAD","U"
"AMERICAN BILLIARDS","S. DEPORTIVO","U"
"GRAND NATIONAL","S. DEPORTIVO","U"
"CASTILLO","ARCADE","U"
"SPECTROIDS","ARCADE","U"
"MICROCOPI","UTILIDAD","U"
"COPIADOR","UTILIDAD","U"
"DANGER MOUSE IN DOUBLE TROUBLE","ARCADE","U"
"PISTA","ARCADE","U"
"WINTER GAMES","ARCADE","U"
"PHANTOMAS II","VIDEOAVENTURA","U"
"GUSANO","ARCADE","U"
"BAGDAD","ARCADE","U"
"PLANCHA","ARCADE","U"
"XANADU","ARCADE","U"
"BATMAN","VIDEOAVENTURA","V"
"CAULDRON II","VIDEOAVENTURA","V-20"
"TIRO AL BLANCO","ARCADE","V"
"PESADILLAS","ARCADE","V"
"SKATE BOARD","ARCADE","V"
"THREE WEEKS IN PARADISE","VIDEOAVENTURA","V-32"
