"LAS TRES LUCES DE GLAURUNG","VIDEOAVENTURA","2"
"LAST MISSION","ARCADE","22"
"LEADER BOARD EXECUTIVE EDITION","S. DEPORTIVO","18"
"LEADER BOARD","SIMULADOR","4"
"LEAGUE CRICKET","S. DEPORTIVO","J"
"LEGEND OF THE AMAZON WOMEN","ARCADE","0-33"
"LEGIONS OF DEATH","ESTRATEGIA","18"
"LES FLICS","---","12"
"LEVIATHAN","ARCADE","17"
"LIGHTFORCE","ARCADE","19"
"LIVINSTONE SUPONGO","VIDEOAVENTURA","10"
"LOADER","---","15"
"LOCOMOTION","ARCADE","24"
"LODE RUNNER","ARCADE","Y"
"LOGO","UTILIDAD","2"
"LORDS OF MIDNIGHT","CONVERSACIONAL","K"
"LUNAR JETMAN","ARCADE","H"
"MACADAM BUMPER","ARCADE","T"
"MAG MAX","ARCADE","8-32"
"MAILSTROM","VIDEOAVENTURA","18"
"MAKE A CHIP","UTILIDAD","D"
"MALVINAS 82","ESTRATEGIA","11"
"MANIC MINER II","ARCADE","30"
"MANIC MINER","ARCADE","J-W"
"MAPA 48K","UTILIDAD","0"
"MARBLE MADNESS","ARCADE","9"
"MARIO BROS.","ARCADE","19"
"MARSPORT","VIDEOAVENTURA","32"
"MARTIANOIDS","ARCADE","12"
"MASTER FILE","UTILIDAD","I"
"MASTERS OF THE UNIVERSE","ARCADE","29"
"MATCH DAY","S. DEPORTIVO","H"
"MATCH POINT","S. DEPORTIVO","B-E"
"MAZIACS","ARCADE","J"
"MEGABUCKS","VIDEOAVENTURA","12"
"MELBOURNE DRAW II","UTILIDAD","D"
"MELBOURNE DRAW","UTILIDAD","C"
"MERCENARY","ARCADE","27"
"MERMAID MADNESS","VIDEOAVENTURA","17"
"METABOLIS","ARCADE","30"
"METEOROIDS","ARCADE","G"
"METROCROSS","ARCADE","8-32"
"MIAMI DICE","JUEGO DE MESA","12"
"MIAMI VICE","ARCADE","Z"
"MICROCOPI","UTILIDAD","U"
"MICRONAUT ONE","ARCADE","17"
"MIKIE","ARCADE","Q-25"
"MILK RACE","ARCADE","13"
"MILLIPEDE","ARCADE","I"
"MISSILE DEFENCE","ARCADE","U"
"MISSILE","ARCADE","A"
"MOLAR MAUL","ARCADE","C"
